medium	description	compound	name
Base	Rhodobacter sphaeroides base medium	CPD1524	CPD1524_e
Base	Rhodobacter sphaeroides base medium	tre	Trehalose
Base	Rhodobacter sphaeroides base medium	man	D_Mannose_e
Base	Rhodobacter sphaeroides base medium	galt	Galactitol
Base	Rhodobacter sphaeroides base medium	arab__L	L-Arabinose
Base	Rhodobacter sphaeroides base medium	acgam	N_Acetyl_D_glucosamine_e
Base	Rhodobacter sphaeroides base medium	glcr	D-Glucarate
Base	Rhodobacter sphaeroides base medium	succ	Succinate_e
Base	Rhodobacter sphaeroides base medium	gal	D-Galactose
Base	Rhodobacter sphaeroides base medium	asp__L	L-Aspartate
Base	Rhodobacter sphaeroides base medium	pro__L	L-Proline
Base	Rhodobacter sphaeroides base medium	ala__D	D-Alanine
Base	Rhodobacter sphaeroides base medium	ser__D	D-Serine
Base	Rhodobacter sphaeroides base medium	for	Formate_e
Base	Rhodobacter sphaeroides base medium	mnl	D_Mannitol_e
Base	Rhodobacter sphaeroides base medium	glu__L	L-Glutamate
Base	Rhodobacter sphaeroides base medium	sbt__D	D-Sorbitol
Base	Rhodobacter sphaeroides base medium	glyc	Glycerol_e
Base	Rhodobacter sphaeroides base medium	fuc__L	L-Fucose
Base	Rhodobacter sphaeroides base medium	glcur	Glucuronate_e
Base	Rhodobacter sphaeroides base medium	glcn	GLCN_e
Base	Rhodobacter sphaeroides base medium	glyc3p	Glycerol_3_phosphate_e
Base	Rhodobacter sphaeroides base medium	xyl__D	D-Xylose
Base	Rhodobacter sphaeroides base medium	lac__L	L-Lactate
Base	Rhodobacter sphaeroides base medium	g6p	D_glucose_6_phosphate_e
Base	Rhodobacter sphaeroides base medium	malt	Maltose_e
Base	Rhodobacter sphaeroides base medium	melib	Melibiose C12H22O11
Base	Rhodobacter sphaeroides base medium	thymd	Thymidine_e
Base	Rhodobacter sphaeroides base medium	galctn__D	D-Galactonate
Base	Rhodobacter sphaeroides base medium	rib__D	D-Ribose
Base	Rhodobacter sphaeroides base medium	rmn	L-Rhamnose
Base	Rhodobacter sphaeroides base medium	fru	D_Fructose_e
Base	Rhodobacter sphaeroides base medium	ac	Acetate_e
Base	Rhodobacter sphaeroides base medium	glc__D	D-Glucose
Base	Rhodobacter sphaeroides base medium	asn__L	L-Asparagine
Base	Rhodobacter sphaeroides base medium	sucr	Sucrose C12H22O11
Base	Rhodobacter sphaeroides base medium	uri	Uridine_e
Base	Rhodobacter sphaeroides base medium	12ppd__S	(S)-Propane-1,2-diol
Base	Rhodobacter sphaeroides base medium	akg	2_Oxoglutarate_e
Base	Rhodobacter sphaeroides base medium	lcts	Lactose C12H22O11
Base	Rhodobacter sphaeroides base medium	gln__L	L-Glutamine
Base	Rhodobacter sphaeroides base medium	malttr	Maltotriose C18H32O16
Base	Rhodobacter sphaeroides base medium	dad_2	Deoxyadenosine
Base	Rhodobacter sphaeroides base medium	adn	Adenosine
Base	Rhodobacter sphaeroides base medium	g1p	D-Glucose 1-phosphate
Base	Rhodobacter sphaeroides base medium	f6p	D-Fructose 6-phosphate
Base	Rhodobacter sphaeroides base medium	ins	Inosine_e
Base	Rhodobacter sphaeroides base medium	cit	Citrate
Base	Rhodobacter sphaeroides base medium	inost	Myo-Inositol
Base	Rhodobacter sphaeroides base medium	fum	Fumarate_e
Base	Rhodobacter sphaeroides base medium	ppa	Propionate_e
Base	Rhodobacter sphaeroides base medium	galct__D	D-Galactarate
Base	Rhodobacter sphaeroides base medium	glyclt	Glycolate_e
Base	Rhodobacter sphaeroides base medium	mal__D	D-Malate
Base	Rhodobacter sphaeroides base medium	mal__L	L-Malate
Base	Rhodobacter sphaeroides base medium	ser__L	L-Serine
Base	Rhodobacter sphaeroides base medium	thr__L	L-Threonine
Base	Rhodobacter sphaeroides base medium	ala__L	L-Alanine
Base	Rhodobacter sphaeroides base medium	acac	Acetoacetate_e
Base	Rhodobacter sphaeroides base medium	acmana	N-Acetyl-D-mannosamine
Base	Rhodobacter sphaeroides base medium	galur	D_Galacturonate_e
Base	Rhodobacter sphaeroides base medium	peamn	Phenethylamine
Base	Rhodobacter sphaeroides base medium	etha	Aminoethanol_e
Base	Rhodobacter sphaeroides base medium	tym	Tyramine_e
Base	Rhodobacter sphaeroides base medium	lyx__L	L-Lyxose
Base	Rhodobacter sphaeroides base medium	pyr	Pyruvate_e
Base	Rhodobacter sphaeroides base medium	galctn__L	L-Galactonate
Base	Rhodobacter sphaeroides base medium	acnam	N-Acetylneuraminate
Base	Rhodobacter sphaeroides base medium	all__D	D-Allose
Base	Rhodobacter sphaeroides base medium	4abut	GABA_e
Base	Rhodobacter sphaeroides base medium	but	Butyrate_e
Base	Rhodobacter sphaeroides base medium	dca	Decanoate (n-C10:0)
Base	Rhodobacter sphaeroides base medium	5dglcn	5_Dehydrogluconate_e
Base	Rhodobacter sphaeroides base medium	hxa	Hexanoate (n-C6:0)
Base	Rhodobacter sphaeroides base medium	tartr__L	L-tartrate
Base	Rhodobacter sphaeroides base medium	leu__L	L-Leucine
Base	Rhodobacter sphaeroides base medium	lys__L	L-Lysine
Base	Rhodobacter sphaeroides base medium	met__L	L-Methionine
Base	Rhodobacter sphaeroides base medium	arg__L	L-Arginine
Base	Rhodobacter sphaeroides base medium	gly	Glycine_e
Base	Rhodobacter sphaeroides base medium	his__L	L-Histidine
Base	Rhodobacter sphaeroides base medium	hom__L	L-Homoserine
Base	Rhodobacter sphaeroides base medium	ile__L	L-Isoleucine
Base	Rhodobacter sphaeroides base medium	orn	Ornithine
Base	Rhodobacter sphaeroides base medium	phe__L	L-Phenylalanine
Base	Rhodobacter sphaeroides base medium	val__L	L-Valine
Base	Rhodobacter sphaeroides base medium	ptrc	Putrescine_e
Base	Rhodobacter sphaeroides base medium	dha	Dihydroxyacetone
Base	Rhodobacter sphaeroides base medium	cys__L	L-Cysteine
Base	Rhodobacter sphaeroides base medium	nh4	NH3_e
Base	Rhodobacter sphaeroides base medium	no2	Nitrite_e
Base	Rhodobacter sphaeroides base medium	no3	Nitrate_e
Base	Rhodobacter sphaeroides base medium	urea	Urea_e
Base	Rhodobacter sphaeroides base medium	trp__L	L-Tryptophan
Base	Rhodobacter sphaeroides base medium	tyr__L	L-Tyrosine
Base	Rhodobacter sphaeroides base medium	agm	Agmatine_e
Base	Rhodobacter sphaeroides base medium	acgal	N-Acetyl-D-galactosamine
Base	Rhodobacter sphaeroides base medium	gam	D-Glucosamine
Base	Rhodobacter sphaeroides base medium	ura	Uracil_e
Base	Rhodobacter sphaeroides base medium	ade	Adenine_e
Base	Rhodobacter sphaeroides base medium	cytd	Cytidine
Base	Rhodobacter sphaeroides base medium	csn	Cytosine_e
Base	Rhodobacter sphaeroides base medium	gua	Guanine_e
Base	Rhodobacter sphaeroides base medium	gsn	Guanosine_e
Base	Rhodobacter sphaeroides base medium	thym	Thymine_e
Base	Rhodobacter sphaeroides base medium	xan	XAN_e
Base	Rhodobacter sphaeroides base medium	xtsn	Xanthosine_e
Base	Rhodobacter sphaeroides base medium	alltn	Allantoin_e
Base	Rhodobacter sphaeroides base medium	23camp	2_3_Cyclic_AMP_e
Base	Rhodobacter sphaeroides base medium	pi	Phosphate_e
Base	Rhodobacter sphaeroides base medium	3amp	3  AMP C10H12N5O7P
Base	Rhodobacter sphaeroides base medium	gmp	GMP_e
Base	Rhodobacter sphaeroides base medium	23cgmp	2_3_Cyclic_GMP_e
Base	Rhodobacter sphaeroides base medium	3gmp	Gp_e
Base	Rhodobacter sphaeroides base medium	cmp	CMP_e
Base	Rhodobacter sphaeroides base medium	23ccmp	2',3'-Cyclic CMP
Base	Rhodobacter sphaeroides base medium	gam6p	D_Glucosamine_phosphate_e
Base	Rhodobacter sphaeroides base medium	3cmp	3_CMP_e
Base	Rhodobacter sphaeroides base medium	ump	UMP_e
Base	Rhodobacter sphaeroides base medium	23cump	2_3_Cyclic_UMP_e
Base	Rhodobacter sphaeroides base medium	man6p	D_mannose_6_phosphate_e
Base	Rhodobacter sphaeroides base medium	pser__L	O-Phospho-L-serine
Base	Rhodobacter sphaeroides base medium	thrp	L_Threonine_phosphate_e
Base	Rhodobacter sphaeroides base medium	3ump	3_UMP_e
Base	Rhodobacter sphaeroides base medium	tyrp	Phosphotyrosine_e
Base	Rhodobacter sphaeroides base medium	minohp	Myo-Inositol hexakisphosphate
Base	Rhodobacter sphaeroides base medium	etoh	Ethanol_e
